,Prediction Year,Predicted Areakm Deforested
0,2017-12-31,67852.46924542908
1,2018-12-31,76320.87754138037
2,2019-12-31,85846.1956280062
3,2020-12-31,96560.33239143784
4,2021-12-31,108611.65976355926
5,2022-12-31,122167.06741205434
6,2023-12-31,137414.27386849403
7,2024-12-31,154564.42609951945
8,2025-12-31,173855.02352060445
9,2026-12-31,195553.20694484108
