,Years,deforestation_mining_percentage
0,2008,20.760212138569294
1,2009,48.00318939614755
2,2010,52.25400334843189
3,2011,68.90747255118514
4,2012,86.87509136983363
5,2013,79.50597954067558
6,2014,83.52065210248102
7,2015,48.01345749376312
