,Deforestation_drivers_type,deforstation_percentage
0,Commodity driven deforestation,63.960285807952054
1,Forestry,10.288888580856712
2,Shifting agriculture,24.88365892754128
3,Unknown,0.767267659281642
4,Urbanization,0.07630837502193459
5,Wildfire,0.023590649346363596
