,Recorded Years,Recorded Areakm Deforested
0,2008-12-31,13318.881211159161
1,2009-12-31,19631.90701762212
2,2010-12-31,25930.00963174428
3,2011-12-31,31625.595707165
4,2012-12-31,36056.38048149895
5,2013-12-31,41456.59095834795
6,2014-12-31,46572.02060429263
7,2015-12-31,54224.959069132026
8,2016-12-31,59958.89680303203
9,2017-12-31,66959.19115073868
10,2018-12-31,74051.35352455039
11,2019-12-31,84948.96627867693
